SubID,Include,Exclusion_reason,AgeYear,AgeMonths,Child_GenderClean,ConditionOrder,Counting,Demographics,Task,TrialLabel,Comparison,Side,TrialType,Response.keys,Response.corr
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN414,1,NA,5,66,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,y,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,y,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,y,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN415,1,NA,4,55,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,y,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,y,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,n,0
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN416,1,NA,4,55,NA,OM,yes,no,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,n,0
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN417,1,NA,6,79,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,y,0
BABSYN418,1,NA,4,54,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,n,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,n,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,y,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,n,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,y,0
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN419,1,NA,5,65,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
